Proceso,Mes,Ano,Presupuesto,Real
Proceso 18,1,2015,635506,690549
Proceso 18,2,2015,1947584,2142923
Proceso 18,3,2015,1512136,1241065
Proceso 18,4,2015,625925,837680
Proceso 18,5,2015,374398,370624
Proceso 18,6,2015,424629,461280
Proceso 18,7,2015,1492431,853733
Proceso 18,8,2015,3654946,2984045
Proceso 18,9,2015,1000736,843764
Proceso 18,10,2015,38068,336137
Proceso 18,11,2015,1457588,1406290
Proceso 18,12,2015,2678681,2450521
Proceso 19,1,2015,814602,941997
Proceso 19,2,2015,17811664,20597207
Proceso 19,3,2015,19147175,22141577
Proceso 19,4,2015,12860874,14872170
Proceso 19,5,2015,6108107,7063346
Proceso 19,6,2015,34807596,40251113
Proceso 19,7,2015,15218184,17598137
Proceso 19,8,2015,22311086,25800289
Proceso 19,9,2015,14946270,17283698
Proceso 19,10,2015,11654380,13476994
Proceso 19,11,2015,20106796,23251273
Proceso 19,12,2015,31309789,36206287
Proceso 20,1,2015,23576527,22272193
Proceso 20,2,2015,16091282,15201057
Proceso 20,3,2015,20849238,19695787
Proceso 20,4,2015,18719293,17683678
Proceso 20,5,2015,15862699,14985120
Proceso 20,6,2015,27427284,25909913
Proceso 20,7,2015,17774998,16791624
Proceso 20,8,2015,19833174,18735935
Proceso 20,9,2015,20078174,18967381
Proceso 20,10,2015,18955732,17907036
Proceso 20,11,2015,14673168,13861398
Proceso 20,12,2015,22013996,20796107
Proceso 21,1,2015,2021938,2415205
Proceso 21,2,2015,1512180,1806299
Proceso 21,3,2015,3886389,4642291
Proceso 21,4,2015,2259409,2698864
Proceso 21,5,2015,2047330,2445535
Proceso 21,6,2015,2409174,2877758
Proceso 21,7,2015,6481264,7741869
Proceso 21,8,2015,4711056,5627355
Proceso 21,9,2015,10038005,11990395
Proceso 21,10,2015,7312284,8734522
Proceso 21,11,2015,4473529,5343630
Proceso 21,12,2015,4615569,5513296
Proceso 22,1,2015,69026886,72221880
Proceso 22,2,2015,52434002,83977889
Proceso 22,3,2015,61223395,91045547
Proceso 22,4,2015,153760097,106140029
Proceso 22,5,2015,131161792,85499066
Proceso 22,6,2015,53926067,76684476
Proceso 22,7,2015,63168931,81723585
Proceso 22,8,2015,49109097,84707786
Proceso 22,9,2015,49792516,86137546
Proceso 22,10,2015,57504350,88042850
Proceso 22,11,2015,176139601,88758292
Proceso 22,12,2015,218531633,196155720
Proceso 24,1,2015,2161541,2372883
Proceso 24,2,2015,8638751,9483395
Proceso 24,3,2015,12877755,14136863
Proceso 24,4,2015,25084030,17193954
Proceso 24,5,2015,28784374,15490278
Proceso 24,6,2015,26653859,13583473
Proceso 24,7,2015,31977446,38376805
Proceso 24,8,2015,12058560,21986712
Proceso 24,9,2015,18199721,25225012
Proceso 24,10,2015,2607732,14804169
Proceso 24,11,2015,13856329,20000620
